Region,Pol,Obrazovanje,Radni status,Nacionalnost,Mesto stanovanja,Starost kategorija,independent_summary
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće provodi 240 minuta dnevno gledajući televiziju, 50 minuta na informativnim internet portalima, 60 minuta na društvenim mrežama i 90 minuta na striming servisima. Ima poverenje u kablovske TV stanice i internet portale, dok ne veruje u TV stanice sa nacionalnom pokrivenošću. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati aktuelne informativne emisije i humorističke programe. Smatra da su štetni sadržaji veoma zastupljeni, posebno na televiziji."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi internet usluge i provodi 90 minuta dnevno na društvenim mrežama, posebno na Facebooku, kojem ima poverenja. Ne prati televiziju, radio, informativne portale ili striming servise. Njegovi interesi uključuju rijaliti i muzičke programe, dok ne prati dokumentarne, kulturne, sportske ili dečije sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najčešće se informiše putem Facebooka. Ne veruje u većinu tradicionalnih medija i izražava sumnju u njihovu objektivnost, ali smatra da Facebook zadovoljava njegove potrebe za informacijama."
Južna i Istočna Srbija,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Grad (Urbano naselje),30 do 39,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju i striming aplikacije. Najčešće provodi 35 minuta dnevno gledajući televiziju, 560 minuta slušajući radio, 32 minuta na informativnim portalima i 60 minuta na društvenim mrežama, posebno Instagramu. Ima poverenje u internet portale i društvene mreže, dok ne veruje u TV stanice. Prva TV je medij koji najčešće prati, ali nema poverenja u njega. Zainteresovan je za kulturno-umetničke i zabavne programe, dok smatra da su štetni sadržaji u medijima prisutni u minimalnoj meri."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Penzioner,mađarska,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku antenu i internet usluge, dok ne koristi kablovsku televiziju. Najčešće prati TV stanice sa nacionalnom pokrivenošću, provodeći 60 minuta dnevno uz televiziju i 70 minuta na društvenim mrežama. Ima osrednje poverenje u specijalizovane informativne kanale, dok za RTS ne izražava jasno poverenje. Prati informativne programe i reportaže, a najčešće gleda strane filmove. Kombinuje više medija za pronalaženje sadržaja, a svakodnevno se informiše putem nacionalnih TV stanica i internet portala. Smatra da u medijima nije zastupljen štetan sadržaj."
Južna i Istočna Srbija,Drugo,Četvorogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju i striming aplikacije. Najčešće prati informativne portale i provodi 60 minuta dnevno uz televiziju, 100 minuta uz radio, 120 minuta uz internet portale i 60 minuta na društvenim mrežama. Ima osrednje poverenje u medije, posebno u TV stanice, dok ne veruje štampanim medijima. Kombinuje više medija za pronalaženje sadržaja, a najviše koristi internet portale. Zainteresovan je za sportski program i informativne sadržaje, dok smatra da su štetni sadržaji najzastupljeniji na televiziji."
Zapadna Srbija sa Šumadijom,Muško,Završena osnovna škola ili manje,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili štampane medije. Najčešće provodi 30 minuta dnevno uz televiziju i radio, a 60 minuta na informativnim internet portalima i društvenim mrežama, posebno TikToku, kojem ima puno poverenje. Ispitanik prati zabavne i sportske programe, dok mu informativni i dokumentarni sadržaji nisu zanimljivi. Medijske sadržaje pronalazi isključivo preko TikToka, gde svakodnevno otkriva nove teme. Ne smatra da postoje štetni sadržaji u medijima, a poverenje u različite medijske kanale je osrednje."
Vojvodina,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,neka druga,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu. Najčešće prati kablovske TV stanice i striming servise, provodeći 180 minuta dnevno uz televiziju i 180 minuta uz informativne internet portale. Ima poverenje u kablovske TV stanice, ali ne i u nacionalne i lokalne. Zainteresovan je za informativne, dokumentarne i kulturno-umetničke programe, dok rijaliti i zabavni programi nisu od interesa. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na RTS-u."
Vojvodina,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV i 180 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane kanale. Najčešće prati informativne programe i dokumentarne reportaže, a zabavne kvizove. Medijske sadržaje pronalazi isključivo preko TV stanica, svakodnevno se informišući putem istih. Smatra da su štetni sadržaji najzastupljeniji u štampanim novinama."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće provodi 30 minuta dnevno gledajući televiziju, 180 minuta na informativnim internet portalima i 360 minuta na društvenim mrežama, posebno Instagramu. Ima poverenje u YouTube i TikTok, dok ne veruje u većinu tradicionalnih medija. Prati dokumentarne filmove, kulturno-umetničke programe i strane filmove, dok ne prati rijaliti i dečije programe. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi zemaljsku i kablovsku televiziju, kao i internet usluge, dok ne koristi striming aplikacije. Najčešće koristi društvene mreže, posebno Instagram, na kojem ima puno poverenje. Dnevno provodi 50 minuta gledajući televiziju, 20 minuta na informativnim portalima i 90 minuta na društvenim mrežama. Ima poverenje u većinu TV stanica i internet portala, dok je skeptičan prema specijalizovanim informativnim kanalima. Zainteresovan je za filmski i serijski program, kao i zabavne sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na TikToku."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao glavnu medijsku uslugu, provodeći 100 minuta dnevno uz televiziju i radio. Ima poverenje u nacionalne TV stanice, dok ne veruje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i zabavne šou emisije, dok ne pokazuje interesovanje za dokumentarne, kulturne, dečije ili sportske programe. Ispitanik smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu N1. Zabrinut je zbog dezinformacija i gubitka poverenja u medije, ali i dalje redovno prati sadržaje na RTS-u i radiju."
Vojvodina,Muško,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 240 minuta dnevno uz TV i 120 minuta uz radio, dok ne koristi internet, kablovsku televiziju, striming servise ili društvene mreže. Ima poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativne programe i dokumentarne filmove, a medijske sadržaje pronalazi isključivo preko TV stanica. Zainteresovan je za sportske i zabavne programe, dok smatra da su štetni sadržaji najzastupljeniji u štampanim novinama."
Vojvodina,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 240 minuta uz televiziju, 60 minuta uz radio, 30 minuta na informativnim internet portalima i 60 minuta na društvenim mrežama. Ima poverenje u nacionalne TV stanice i specijalizovane informativne kanale, dok ne veruje u kablovske TV stanice i štampane medije. Najčešće prati vesti i putopise, a preferira kvizove i domaće serije. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 360 minuta dnevno gledajući televiziju, dok internet i radio koriste 60 minuta. Ima poverenje u nacionalne i kablovske TV stanice, dok ne veruje u internet portale i društvene mreže. Prati vesti i dokumentarne filmove, a najčešće gleda domaće serije. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati Informer. Zainteresovan je za kulturno-umetničke i filmske sadržaje, dok rijaliti i dečiji program ne prati. Ne može da proceni zastupljenost štetnih sadržaja u medijima."
Beograd,Muško,Visoka  škola ili fakultet,Zaposlen kod privatnika,ne želi da odgovori,Grad (Urbano naselje),30 do 39,"Ispitanik ne koristi tradicionalne medijske i komunikacijske usluge, uključujući televiziju, radio, internet usluge i striming aplikacije, te provodi 0 minuta dnevno uz medije. Ima izrazito nisko poverenje u sve vrste medija, uključujući TV stanice, štampane medije i društvene mreže. Ne prati nijedan konkretan medij i ne zna koji bi medij mogao zadovoljiti njegove interese. Zainteresovan je za naučno-obrazovne, kulturno-umetničke, filmske i sportske sadržaje, ali ne smatra da su ti sadržaji zastupljeni u medijima. Preferira internet portale koji bi pokrivali filmski i serijski program."
Beograd,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 30 minuta dnevno uz TV i 400 minuta uz radio. Ima puno poverenje u TV stanice koje su vidljive na teritoriji Srbije, posebno u Pink, koji je njegov glavni izvor medijskih sadržaja. Ispitanik se najčešće interesuje za informativne programe, zabavne sadržaje, rijaliti i domaće serije, dok ne prati dokumentarne, kulturne, dečije ili sportske programe. Ne smatra da su u medijima prisutni štetni sadržaji i ne planira promenu medija koji prati."
Zapadna Srbija sa Šumadijom,Žensko,Četvorogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 180 minuta dnevno gledajući TV, dok ne koristi druge medijske platforme poput interneta, društvenih mreža ili striming servisa. Ima nisko poverenje u sve vrste medija, uključujući nacionalne i lokalne TV stanice, kao i internet portale. Najčešće prati informativne programe, posebno vesti, i dokumentarne sadržaje poput putopisa. Kombinuje više medija kako bi pronašao zanimljive teme, ali smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu N1."
Južna i Istočna Srbija,Muško,Završena osnovna škola ili manje,Nezaposlen (radno sposoban),romska,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz internet i striming aplikacije. Najviše vremena provodi uz radio (180 minuta) i televiziju (30 minuta), dok striming servisi zauzimaju samo 10 minuta dnevno. Ima poverenje u društvene mreže poput TikToka, Facebooka, Instagrama i Twittera, ali ne i u tradicionalne medije. Prati informativne sadržaje na lokalnim i kablovskim TV stanicama, dok je najčešće korišćeni medij PINK. Zainteresovan je za dokumentarne i naučno-obrazovne programe, ali ne i za zabavne ili rijaliti sadržaje. Smatra da su štetni sadržaji najzastupljeniji na televiziji."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),30 do 39,"Ispitanik koristi internet usluge, ali ne koristi kablovsku televiziju, zemaljsku antenu niti striming aplikacije. Najčešće prati informativne internet portale i društvene mreže, provodeći 450 minuta dnevno na internetu i 120 minuta na društvenim mrežama. Ima poverenje u specijalizovane informativne kanale, štampane medije i radio stanice, dok ne veruje u TV stanice. Zainteresovan je za dokumentarne, naučno-obrazovne i dečije programe, kao i sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Južna i Istočna Srbija,Žensko,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 500 minuta dnevno gledajući televiziju, dok internet usluge takođe koriste. Ima poverenje u nacionalne TV stanice, posebno u Pink, koji prati svakodnevno. Ne koristi striming aplikacije i ne prati dokumentarne, kulturne ili sportske programe. Zainteresovan je za zabavne i rijaliti programe, dok informativne sadržaje prati osrednje. Ispitanik smatra da bi gubitak poverenja u medij mogao uticati na njegov izbor, ali trenutno ne prepoznaje štetne sadržaje u medijima."
Južna i Istočna Srbija,Žensko,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",slovačka,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije i društvene mreže. Najčešće prati informativne portale i provodi 30 minuta dnevno uz televiziju i 90 minuta uz internet portale. Ima poverenje u sve vrste medija osim lokalnih radio stanica. Najčešće prati YouTube, smatra da je medij nepristrasan i lako dostupan. Zainteresovan je za filmski, serijski i muzički program, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja i smatra da u medijima nema štetnih sadržaja."
Zapadna Srbija sa Šumadijom,Muško,Četvorogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi striming aplikacije. Najčešće prati društvene mreže, posebno Facebook, ali nema poverenja u većinu medija, uključujući TV stanice i internet portale. Dnevno provodi 120 minuta gledajući televiziju i 180 minuta na informativnim internet portalima i društvenim mrežama. Zainteresovan je za informativne i sportske programe, dok ne prati dečije, zabavne ili rijaliti sadržaje. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama."
Južna i Istočna Srbija,Žensko,Završena osnovna škola ili manje,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 120 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Najčešće prati RTS, ali nema poverenja u ovaj medij. Ne prati informativne, dokumentarne, kulturne, zabavne, dečije, verske, filmske, serijske ili sportske programe, osim kvizova. Medijske sadržaje pronalazi isključivo preko RTS-a, ali nije pronašao zanimljive teme u prethodnoj nedelji. Ispitanik smatra da su štetni sadržaji u medijima zastupljeni, ali ne može da proceni njihovu zastupljenost."
Južna i Istočna Srbija,Žensko,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju, striming aplikacije niti radio. Najčešće provodi 60 minuta dnevno na televiziji i društvenim mrežama, posebno na Facebook-u, kojem ima puno poverenje. Ispitanik se oslanja na informativne i zabavne programe, a najčešće prati informativno zabavne emisije i reportaže. Kombinuje više medija za pronalaženje sadržaja, a najčešće pronalazi informacije putem društvenih mreža i TV stanica. Veruje u medije kao što su RTS i štampani mediji, dok ne veruje u kablovske i specijalizovane informativne kanale."
Zapadna Srbija sa Šumadijom,Muško,Dvogodišnja ili trogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz internet i striming aplikacije. Dnevno provodi 120 minuta gledajući televiziju, 100 minuta na radiju, 100 minuta na informativnim portalima, 300 minuta na društvenim mrežama, i 60 minuta na striming servisima. Najčešće prati društvene mreže, posebno Instagram, i kombinuje više medija za pronalaženje sadržaja. Ima poverenje u internet portale i Instagram, dok ne veruje u tradicionalne medije. Zainteresovan je za zabavni, muzički i filmski program, dok rijaliti i sportski program ne prati. Smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),30 do 39,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili televiziju. Najčešće provodi 120 minuta dnevno uz radio i društvene mreže, posebno TikTok. Ispitanik nema poverenja u TV stanice, štampane medije i specijalizovane informativne kanale, dok je umeren u pogledu poverenja prema društvenim mrežama. Kombinuje više medija za pronalaženje sadržaja, a najčešće prati sadržaje putem interneta i društvenih mreža. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno u mediju Informer."
Južna i Istočna Srbija,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 180 minuta dnevno gledajući televiziju, dok ne koristi radio, internet portale, društvene mreže ili striming servise. Ima poverenje u nacionalne TV stanice, dok ne veruje kablovskim i specijalizovanim informativnim kanalima. Najčešće prati program Pink, smatrajući ga pravovremenim i u skladu sa svojim uverenjima. Zainteresovan je za informativne i muzičke programe, kao i rijaliti sadržaje, dok ne prati dokumentarne, sportske ili dečije programe. Smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu N1."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Grad (Urbano naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 250 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije ili društvene mreže. Ima puno poverenje u nacionalne i regionalne TV stanice, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Najčešće prati informativno-dokumentarne programe i šou programe, a medijske sadržaje pronalazi kombinovanjem više izvora. Zainteresovan je za razne teme, uključujući informativne, kulturne i verske programe, ali ne prati dečije i sportske programe."
Vojvodina,Žensko,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),60 do 69,"Ispitanik koristi zemaljsku antenu za gledanje televizije, dok ne koristi kablovsku televiziju i striming aplikacije. Dnevno provodi 240 minuta uz televiziju i 60 minuta na društvenim mrežama, najčešće prateći TV stanice sa nacionalnom pokrivenošću. Ima poverenje u te stanice i internet portale, dok ne može da proceni poverenje u kablovske i specijalizovane informativne kanale. Zainteresovan je za dokumentarne i zabavne programe, a najčešće prati vesti i reportaže. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na internet portalima."
Beograd,Muško,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),ne želi da odgovori,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, striming aplikacije ili radio. Najčešće prati kablovske TV stanice i provodi 60 minuta dnevno gledajući televiziju, 45 minuta na informativnim internet portalima i 30 minuta na društvenim mrežama. Ima veoma visok interes za informativne, dokumentarne, naučno-obrazovne, kulturno-umetničke, zabavne, dečije, verske, filmske, muzičke i sportske programe, dok ne prati rijaliti programe. Kombinuje više medija za pronalaženje sadržaja, ali nema poverenja u specifične medije i ne zna kako oceniti njihovu zastupljenost štetnih sadržaja."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,Nezaposlen (radno sposoban),srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi zemaljsku antenu za gledanje televizije i internet usluge, dok ne koristi kablovsku televiziju i striming aplikacije. Najčešće provodi 150 minuta dnevno gledajući televiziju i 90 minuta na društvenim mrežama, posebno Instagramu, kojem ima puno poverenje. Ispitanik prati rijaliti i filmski program, dok ne pokazuje interesovanje za informativne, dokumentarne i sportske sadržaje. Kombinuje više medija za pronalaženje sadržaja, a najčešće se informiše putem TV stanica i društvenih mreža. Smatra da u medijima nije zastupljen štetan sadržaj."
Beograd,Žensko,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok zemaljsku antenu ne koristi. Najčešće koristi internet, provodeći 180 minuta na informativnim portalima, 120 minuta na društvenim mrežama i 90 minuta na striming servisima. Ima poverenje u Instagram, ali ne u TV stanice i kablovske kanale. Prati informativno zabavne i dokumentarne programe, dok rijaliti i dečiji program ne prati. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Južna i Istočna Srbija,Muško,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),18 do 29,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu, radio i striming servise. Najčešće provodi 200 minuta dnevno gledajući televiziju i 400 minuta na društvenim mrežama, posebno YouTube-u i Instagramu. Ima poverenje u kablovske TV stanice i internet portale, dok ne veruje u nacionalne TV stanice. Zanimaju ga filmski i sportski programi, dok ne prati informativne, dokumentarne i zabavne sadržaje. Ne smatra da postoji medij koji u potpunosti zadovoljava njegova interesovanja, a štetne sadržaje u medijima ne može da proceni."
Beograd,Žensko,Visoka  škola ili fakultet,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi internet usluge, provodeći 120 minuta dnevno na radiju, 120 minuta na informativnim internet portalima, 30 minuta na društvenim mrežama i 120 minuta na striming servisima. Ima nisko poverenje u sve vrste medija, uključujući TV stanice i štampane medije. Prati Instagram, ali ne smatra da mu pruža pravovremene ili objektivne informacije. Kombinuje više medija za pronalaženje sadržaja, a najviše štetnih sadržaja primećuje na televiziji, posebno na kanalu Pink."
Beograd,Muško,Četvorogodišnja srednja škola,Zaposlen kod privatnika,srpska ,Grad (Urbano naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarni medij, provodeći 120 minuta dnevno uz televiziju i 200 minuta uz radio. Internet usluge su prisutne, ali striming aplikacije se ne koriste. Ima poverenje u razne medije, uključujući kablovske i lokalne TV stanice, dok je poverenje u društvene mreže osrednje. Najčešće prati informativno-zabavne programe i putopise, a preferira kombinaciju više medija za pronalaženje sadržaja. Zainteresovan je za sportske i informativne teme, dok smatra da su štetni sadržaji najzastupljeniji na televiziji."
Vojvodina,Žensko,Završena osnovna škola ili manje,Penzioner,mađarska,Grad (Urbano naselje),Više od 70,"Ispitanik koristi kablovsku televiziju kao primarni izvor medijskih sadržaja, provodeći 180 minuta dnevno gledajući TV, dok na društvenim mrežama provodi 60 minuta. Ima poverenje u nacionalne TV stanice i kablovske kanale, dok ne prati lokalne i specijalizovane informativne kanale. Najčešće prati zabavne i filmske sadržaje, kao i rijaliti programe. Kombinuje više medija za pronalaženje sadržaja, a najviše koristi Pink. Smatra da su štetni sadržaji najzastupljeniji u štampanim novinama, posebno u Alo novinama."
Zapadna Srbija sa Šumadijom,Žensko,Dvogodišnja ili trogodišnja srednja škola,Penzioner,srpska ,Selo (Ruralno naselje),Više od 70,"Ispitanik koristi zemaljsku (terestrijalnu) antenu za gledanje televizije, provodeći 180 minuta dnevno uz TV, dok ne koristi kablovsku televiziju, internet usluge, striming aplikacije, radio, društvene mreže ili štampane medije. Ima poverenje u nacionalne i regionalne TV stanice, dok ne veruje kablovskim i specijalizovanim informativnim kanalima. Najčešće prati aktuelne informativne emisije i zabavne talk šou programe. Zainteresovan je za informativne, zabavne i filmske sadržaje, dok smatra da su štetni sadržaji najzastupljeniji na internet portalima, posebno na N1."
Vojvodina,Žensko,Četvorogodišnja srednja škola,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Selo (Ruralno naselje),50 do 59,"Ispitanik koristi kablovsku televiziju kao primarnu medijsku uslugu, uz internet i striming aplikacije. Dnevno provodi 65 minuta gledajući televiziju, 35 minuta na informativnim portalima i 30 minuta na društvenim mrežama. Ima poverenje u regionalne TV stanice, dok za nacionalne nema jasno izraženo poverenje. Najčešće prati informativne programe i reportaže, a preferira sadržaje iz oblasti kulture i filma. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji u štampanim novinama, posebno u mediju Pink."
Beograd,Muško,Visoka  škola ili fakultet,"Zaposlen u javnoj administraciji (lokalna, republička)",srpska ,Grad (Urbano naselje),60 do 69,"Ispitanik koristi kablovsku televiziju kao jedinu medijsku uslugu, provodeći 300 minuta dnevno gledajući TV, pretežno RTS. Ima puno poverenje u RTS, dok ne veruje u druge medije, uključujući lokalne i kablovske stanice. Ne koristi internet, društvene mreže ili striming servise. Zainteresovan je isključivo za informativne programe, dok su mu ostale vrste sadržaja potpuno neinteresantne. Medijske sadržaje pronalazi isključivo preko RTS-a i svakodnevno prati vesti. Smatra da u medijima nije zastupljen štetan sadržaj."
Beograd,Žensko,Visoka  škola ili fakultet,Učenik/Student,srpska ,Grad (Urbano naselje),18 do 29,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, dok ne koristi zemaljsku antenu. Najčešće koristi internet, provodeći 240 minuta dnevno na informativnim portalima, 200 minuta na društvenim mrežama i 90 minuta na striming servisima. Ima nisko poverenje u sve tradicionalne medije, dok ima poverenje u TikTok, koji prati svakodnevno. Zainteresovan je za dokumentarne, naučno-obrazovne, kulturne, zabavne i sportske programe. Kombinuje više medija za pronalaženje sadržaja i smatra da su štetni sadržaji najzastupljeniji na društvenim mrežama, posebno na Facebooku."
Južna i Istočna Srbija,Muško,Visoka  škola ili fakultet,Nezaposlen (radno sposoban),bošnjačka,Selo (Ruralno naselje),40 do 49,"Ispitanik koristi kablovsku televiziju, internet usluge i striming aplikacije, pri čemu najčešće prati striming servise. Dnevno provodi 10 minuta uz televiziju, 60 minuta uz radio i 60 minuta uz striming servise. Ima poverenje u radio stanice, dok ne veruje u TV stanice, štampane medije i internet portale. Najčešće prati informativno zabavne i humorističke emisije, dok ne prati dokumentarne i kulturno-umetničke programe. Kombinuje više medija za pronalaženje sadržaja, a smatra da su štetni sadržaji najzastupljeniji na televiziji, posebno na kanalu Pink."
Vojvodina,Muško,Završena osnovna škola ili manje,Zaposlen kod privatnika,ne želi da odgovori,Grad (Urbano naselje),40 do 49,"Ispitanik koristi kablovsku televiziju i internet usluge, dok ne koristi zemaljsku antenu i striming aplikacije. Najčešće prati društvene mreže, posebno YouTube, gde provodi značajno vreme. U dnevnom rasporedu, posvećuje 50 minuta televiziji, 30 minuta informativnim portalima i 60 minuta društvenim mrežama. Ispitanik nema poverenja u većinu medija, osim u YouTube, koji smatra pouzdanim. Zainteresovan je za razne medijske teme, ali najviše za informativne programe i kvizove. Kombinuje više medija za pronalaženje sadržaja, a primećuje visoku zastupljenost štetnih sadržaja, posebno na društvenim mrežama."
